id,label,kind,strings,frets
342,Note G,note,3,12
343,Note G#,note,3,13
344,Note A,note,3,14
345,Note A#,note,3,15
346,Note D,note,4,0
347,Note D#,note,4,1
348,Note E,note,4,2
349,Note F,note,4,3
350,Note F#,note,4,4
351,Note G,note,4,5
352,Note G#,note,4,6
353,Note A,note,4,7
354,Note A#,note,4,8
355,Note B,note,4,9
356,Note C,note,4,10
357,Note C#,note,4,11
358,Note D,note,4,12
359,Note D#,note,4,13
360,Note E,note,4,14
361,Note F,note,4,15
362,Note A,note,5,0
363,Note A#,note,5,1
364,Note B,note,5,2
365,Note C,note,5,3
366,Note C#,note,5,4
367,Note D,note,5,5
368,Note D#,note,5,6
369,Note E,note,5,7
370,Note F,note,5,8
371,Note F#,note,5,9
372,Note G,note,5,10
373,Note G#,note,5,11
374,Note A,note,5,12
375,Note A#,note,5,13
376,Note B,note,5,14
377,Note C,note,5,15
378,Note E,note,6,0
379,Note F,note,6,1
380,Note F#,note,6,2
381,Note G,note,6,3
382,Note G#,note,6,4
383,Note A,note,6,5
384,Note A#,note,6,6
385,Note B,note,6,7
386,Note C,note,6,8
387,Note C#,note,6,9
388,Note D,note,6,10
389,Note D#,note,6,11
390,Note E,note,6,12
391,Note F,note,6,13
392,Note F#,note,6,14
393,Note G,note,6,15
